,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
0,Owner,0,0,2,BHK,1300.24,1,1,"Ksfc Layout,Bangalore",77.6,12.97,55.0
1,Dealer,0,0,2,BHK,1275.0,1,1,"Vishweshwara Nagar,Mysore",76.64,12.27,51.0
2,Owner,0,0,2,BHK,933.16,1,1,"Jigani,Bangalore",77.63,12.78,43.0
3,Owner,0,1,2,BHK,929.92,1,1,"Sector-1 Vaishali,Ghaziabad",77.34,28.64,62.5
4,Dealer,1,0,2,BHK,999.01,0,1,"New Town,Kolkata",88.48,22.59,60.5
5,Owner,0,0,3,BHK,1250.0,1,1,"South Chittoor,Kochi",76.28,10.03,42.0
6,Dealer,0,0,3,BHK,1495.05,1,1,"Sodala,Jaipur",75.8,26.92,66.5
7,Owner,0,1,3,BHK,1181.01,1,1,"Kharar,Mohali",76.65,30.74,52.0
8,Dealer,0,1,2,BHK,1040.0,1,1,"Bileshivale,Bangalore",77.67,13.05,41.6
9,Owner,0,1,2,BHK,879.12,1,1,"Chromepet,Chennai",80.14,12.95,36.0
10,Owner,0,0,3,BHK,1350.31,1,1,"Deshbandhu Para,Siliguri",88.33,26.72,35.0
11,Dealer,0,0,2,BHK,1333.01,1,1,"Hebbal,Bangalore",77.59,13.04,110.0
12,Owner,0,0,2,BHK,927.18,1,1,"Garebhavipalya,Bangalore",77.6,12.97,48.0
13,Owner,0,1,2,BHK,1122.17,1,1,"Sector-119 Noida,Noida",77.4,28.59,62.0
14,Owner,0,0,1,BHK,649.98,1,1,"sanjay nagar,Raigad",77.58,13.04,20.0
15,Dealer,1,1,3,BHK,1394.12,0,1,"Sector-150 Noida,Noida",77.48,28.43,71.1
16,Owner,0,0,3,BHK,1800.08,1,1,"Jharapada,Bhubaneswar",85.86,20.28,85.0
17,Dealer,1,1,3,BHK,2124.9,0,1,"Konanakunte,Bangalore",77.56,12.89,180.0
18,Owner,0,0,2,BHK,1100.0,1,1,"Nagpur Road,Wardha",79.08,21.15,22.0
19,Dealer,0,1,3,BHK,2178.65,1,1,"Kogilu,Bangalore",77.61,13.09,120.0
20,Owner,0,0,2,BHK,881.14,1,1,"Poonamallee,Chennai",80.11,13.05,45.0
21,Dealer,0,0,2,BHK,944.88,1,1,"Undri,Pune",73.93,18.45,42.0
22,Dealer,0,1,3,BHK,1310.15,1,1,"Sector-134 Noida,Noida",77.38,28.5,55.0
23,Dealer,0,0,1,BHK,630.0,1,1,"Bandra (West),Mumbai",72.84,19.05,300.0
24,Dealer,0,0,2,BHK,1219.81,1,1,"Narendra Nagar,Nagpur",79.08,21.11,50.0
25,Owner,0,0,2,BHK,780.14,1,1,"Kudgat,Kolkata",88.34,22.54,27.5
26,Owner,0,0,3,BHK,1600.0,1,1,"Sain Vihar,Ghaziabad",77.43,28.64,46.0
27,Dealer,0,0,2,BHK,1180.41,1,1,"Sector-115 Mohali,Mohali",76.65,30.71,22.9
28,Owner,1,0,2,BHK,1000.0,0,1,"Mohan Asram,Deoghar",86.7,24.48,39.0
29,Dealer,0,0,2,BHK,1000.0,1,1,"Alwar Bypass Road,Bhiwadi",76.86,28.21,12.5
30,Dealer,0,0,3,BHK,1400.11,1,1,"Sector 84 Faridabad,Faridabad",77.37,28.4,52.0
31,Dealer,0,1,2,BHK,943.13,1,1,"Sector-134 Noida,Noida",77.38,28.5,33.0
32,Owner,0,0,2,BHK,1150.15,1,1,"Indra Colony,Jaipur",74.87,26.59,55.0
33,Dealer,1,1,1,BHK,864.07,0,1,"Thane West,Lalitpur",72.96,19.18,82.0
34,Dealer,0,1,2,BHK,857.79,1,0,"Mulund (West),Maharashtra",72.95,19.18,240.0
35,Owner,0,0,3,BHK,1174.21,1,1,"Thalambur,Chennai",80.22,12.85,55.0
36,Dealer,1,1,2,BHK,1020.09,0,1,"Wakad,Pune",73.76,18.6,65.0
37,Owner,0,0,4,BHK,1650.17,1,1,"Vasna,Vadodara",72.67,22.31,65.0
38,Dealer,1,0,2,BHK,1000.0,0,1,"Madhurawada,Visakhapatnam",83.36,17.82,35.0
39,Owner,0,0,3,BHK,1300.05,1,1,"Vasanthapura,Bangalore",77.55,12.89,75.0
40,Dealer,0,1,2,BHK,1058.11,1,1,"Sus,Pune",73.74,18.54,65.0
41,Dealer,1,0,1,BHK,400.0,0,1,"Kharadi,Pune",73.94,18.54,30.0
42,Dealer,0,1,3,BHK,1274.92,1,1,"Marol,Mumbai",83.76,22.8,250.0
43,Dealer,0,0,2,BHK,1026.69,1,1,"Wadala East,Lalitpur",72.87,19.01,220.0
44,Owner,0,0,2,BHK,1150.12,1,1,"Near Ambamata Mandir,Vapi",72.9,20.37,38.0
45,Owner,0,0,3,BHK,1200.0,1,1,"Patel Nagar-II,Ghaziabad",77.04,28.46,60.0
46,Dealer,0,0,1,RK,475.01,1,1,"Balkum,Lalitpur",78.42,24.69,46.0
47,Builder,1,1,1,BHK,301.92,0,0,"Taloja,Lalitpur",78.42,24.69,26.3
48,Dealer,1,1,2,BHK,1228.57,0,1,"Bolar,Mangalore",74.85,12.84,51.6
49,Owner,0,0,2,BHK,986.02,1,1,"Ayanambakkam,Chennai",80.15,13.08,55.0
50,Dealer,1,1,3,BHK,1972.57,0,1,"Sector 88 Faridabad,Faridabad",77.35,28.43,71.9
51,Dealer,1,1,1,BHK,420.62,0,1,"Sindhi Society Chembur,Lalitpur",72.89,19.05,130.0
52,Owner,0,0,3,BHK,1275.01,1,1,"Shiv Mandir,Siliguri",71.39,25.23,32.5
53,Dealer,1,1,1,BHK,406.02,0,0,"Kalyan (West),Maharashtra",73.12,19.25,39.9
54,Dealer,0,0,3,BHK,1862.56,1,1,"Sector 88 Faridabad,Faridabad",77.35,28.43,59.9
55,Owner,0,0,2,BHK,950.01,1,1,"Nandanwan Phases 2,Aurangabad",75.34,19.89,65.0
56,Dealer,0,0,2,BHK,1049.97,1,1,"Basaveshwara Nagar,Bangalore",77.54,12.99,68.5
57,Dealer,0,0,3,BHK,1615.01,1,1,"Maniktala,Kolkata",88.37,22.59,99.0
58,Dealer,0,0,3,BHK,1150.01,1,1,"Wadala East,Lalitpur",72.87,19.01,250.0
59,Owner,0,0,2,BHK,1100.0,1,1,"Jhotwara,Jaipur",75.73,26.96,27.5
60,Dealer,1,1,2,BHK,906.27,0,0,"Balkum,Lalitpur",78.42,24.69,70.0
61,Owner,0,0,3,BHK,1454.33,1,1,"Poolakkaparambu,Ottapalam",76.38,10.77,50.0
62,Owner,0,0,3,BHK,1591.99,1,1,"Sector-137 Noida,Noida",77.41,28.51,70.0
63,Dealer,0,1,2,BHK,573.88,1,1,"Sector 86 Faridabad,Faridabad",77.34,28.41,22.1
64,Dealer,0,1,3,BHK,1038.88,1,1,"Powai,Mumbai",72.91,19.12,280.0
65,Owner,0,0,3,BHK,1538.14,1,1,"Yelahanka,Bangalore",77.6,13.11,74.0
66,Dealer,0,0,3,BHK,1602.08,1,1,"Sector 77 Faridabad,Faridabad",77.37,28.37,49.2
67,Owner,0,0,2,BHK,1200.0,1,1,"Madhuranagar,Vijayawada",80.62,16.52,45.0
68,Owner,0,0,2,BHK,760.07,1,1,"Tilakwadi,Belgaum",74.5,15.87,60.0
69,Owner,1,0,2,BHK,739.83,0,1,"tallaiya,Bhopal",77.42,23.25,30.0
70,Owner,0,0,2,BHK,1260.02,1,1,"Mulki,Mangalore",74.78,13.09,33.0
71,Owner,0,0,2,BHK,1100.15,1,1,"Manewada,Nagpur",79.11,21.09,29.0
72,Dealer,0,1,3,BHK,2293.08,1,1,"Kharadi,Pune",73.94,18.54,210.0
73,Dealer,0,0,2,BHK,1146.48,1,1,"Sector-8 Ulwe,Lalitpur",72.82,19.22,88.6
74,Dealer,0,1,4,BHK,2224.06,1,1,"Goregaon (East),Lalitpur",72.87,19.16,780.0
75,Dealer,0,0,2,BHK,759.88,1,1,"Joka,Kolkata",88.3,22.45,30.0
76,Owner,0,0,4,BHK,2260.25,1,1,"Wilson Garden,Bangalore",77.6,12.95,140.0
77,Dealer,0,0,3,BHK,767.02,1,1,"DN Nagar,Maharashtra",80.1,20.74,240.0
78,Owner,0,0,4,BHK,2500.0,1,1,"Ramprastha,Ghaziabad",77.42,28.67,160.0
79,Dealer,1,1,4,BHK,2286.24,0,1,"Gomti Nagar Extension,Lucknow",77.0,21.0,100.0
80,Owner,0,1,2,BHK,1150.09,1,1,"Sector-74 Noida,Noida",77.39,28.58,60.0
81,Dealer,0,1,2,BHK,1004.93,1,1,"New Panvel,Mumbai",73.15,18.97,81.5
82,Owner,0,0,2,BHK,800.0,1,1,"Prantik,Kolkata",88.37,22.57,34.0
83,Dealer,1,0,3,BHK,993.75,0,1,"Subhas Pally,Siliguri",88.44,26.71,31.8
84,Dealer,0,0,2,BHK,1298.14,1,1,"Jatkhedi,Bhopal",77.48,23.17,30.0
85,Dealer,0,1,2,BHK,996.8,1,1,"Raj Nagar Extension,Ghaziabad",75.78,26.9,24.9
86,Owner,0,0,2,BHK,985.02,1,1,"CV Raman Nagar,Bangalore",77.66,12.99,48.0
87,Dealer,0,0,3,BHK,1118.75,1,1,"Medavakkam,Chennai",80.19,12.92,53.7
88,Dealer,0,1,2,BHK,889.83,1,1,"Sector-137 Noida,Noida",77.41,28.51,42.0
89,Dealer,1,1,4,BHK,1725.49,0,0,"Deonar,Maharashtra",72.92,19.05,440.0
90,Dealer,1,1,3,BHK,2488.0,0,1,"Sector-82 Mohali,Mohali",76.73,30.65,140.0
91,Dealer,0,0,3,BHK,1200.08,1,1,"Satgachi,Kolkata",88.4,23.21,58.0
92,Dealer,0,0,2,BHK,1584.28,1,1,"Tilak Nagar,Kanpur",79.51,26.46,100.0
93,Owner,0,0,2,BHK,900.0,1,1,"Kalol,Gandhinagar",72.52,23.23,18.0
