,Unnamed: 0,POSTED_BY,RERA,BHK_NO.,SQUARE_FT,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),transformed_price,PRICE_PER_SQFT,LAT_ROUNDED,LONG_ROUNDED
0,0,Owner,0,2,1300.24,"Ksfc Layout,Bangalore",77.6,12.97,55.0,-0.09041199840524089,0.04229988309850489,12.97,77.6
1,1,Dealer,0,2,1275.0,"Vishweshwara Nagar,Mysore",76.64,12.27,51.0,-0.193467678054862,0.04,12.27,76.64
2,2,Owner,0,2,933.16,"Jigani,Bangalore",77.63,12.78,43.0,-0.4303443363471713,0.046079986283166875,12.78,77.63
3,3,Owner,1,2,929.92,"Sector-1 Vaishali,Ghaziabad",77.34,28.64,62.5,0.08157982393641697,0.06721008258774949,28.64,77.34
4,4,Dealer,0,2,999.01,"New Town,Kolkata",88.48,22.59,60.5,0.03811763084562289,0.06055995435481126,22.59,88.48
5,5,Owner,0,3,1250.0,"South Chittoor,Kochi",76.28,10.03,42.0,-0.4634451859810767,0.0336,10.03,76.28
6,6,Dealer,0,3,1495.05,"Sodala,Jaipur",75.8,26.92,66.5,0.16392131801668616,0.04448011772181532,26.92,75.8
7,7,Owner,1,3,1181.01,"Kharar,Mohali",76.65,30.74,52.0,-0.166861218308686,0.04403010982125469,30.74,76.65
8,8,Dealer,1,2,1040.0,"Bileshivale,Bangalore",77.67,13.05,41.6,-0.4769367132572694,0.04,13.05,77.67
9,9,Owner,1,2,879.12,"Chromepet,Chennai",80.14,12.95,36.0,-0.6828755412848533,0.04095004095004095,12.95,80.14
10,10,Owner,0,3,1350.31,"Deshbandhu Para,Siliguri",88.33,26.72,35.0,-0.723457885431606,0.025919973931911932,26.72,88.33
11,11,Dealer,0,2,1333.01,"Hebbal,Bangalore",77.59,13.04,110.0,0.8050195609951637,0.0825200111026924,13.04,77.59
12,12,Owner,0,2,927.18,"Garebhavipalya,Bangalore",77.6,12.97,48.0,-0.2769974251759186,0.05176988287064001,12.97,77.6
13,13,Owner,1,2,1122.17,"Sector-119 Noida,Noida",77.4,28.59,62.0,0.07086483393153738,0.055250095796537065,28.59,77.4
14,14,Owner,0,1,649.98,"sanjay nagar,Raigad",77.58,13.04,20.0,-1.5593791051517685,0.03077017754392443,13.04,77.58
15,15,Dealer,1,3,1394.12,"Sector-150 Noida,Noida",77.48,28.43,71.1,0.25187941662142094,0.05099991392419591,28.43,77.48
16,16,Owner,0,3,1800.08,"Jharapada,Bhubaneswar",85.86,20.28,85.0,0.4825433976734204,0.04722012355006444,20.28,85.86
17,17,Dealer,1,3,2124.9,"Konanakunte,Bangalore",77.56,12.89,180.0,1.3870433020834425,0.08470986869970351,12.89,77.56
18,18,Owner,0,2,1100.0,"Nagpur Road,Wardha",79.08,21.15,22.0,-1.4131455794204104,0.02,21.15,79.08
19,19,Dealer,1,3,2178.65,"Kogilu,Bangalore",77.61,13.09,120.0,0.9110595636909599,0.05507998072200675,13.09,77.61
20,20,Owner,0,2,881.14,"Poonamallee,Chennai",80.11,13.05,45.0,-0.3666887455388246,0.051070204507796715,13.05,80.11
21,21,Dealer,0,2,944.88,"Undri,Pune",73.93,18.45,42.0,-0.4634451859810767,0.0444500889001778,18.45,73.93
22,22,Dealer,1,3,1310.15,"Sector-134 Noida,Noida",77.38,28.5,55.0,-0.09041199840524089,0.041979925962676023,28.5,77.38
23,23,Dealer,0,1,630.0,"Bandra (West),Mumbai",72.84,19.05,300.0,1.94566033866968,0.47619047619047616,19.05,72.84
24,24,Dealer,0,2,1219.81,"Narendra Nagar,Nagpur",79.08,21.11,50.0,-0.2206750825838836,0.040989990244382324,21.11,79.08
25,25,Owner,0,2,780.14,"Kudgat,Kolkata",88.34,22.54,27.5,-1.0768620101744457,0.035250083318378755,22.54,88.34
26,26,Owner,0,3,1600.0,"Sain Vihar,Ghaziabad",77.43,28.64,46.0,-0.3360549920309494,0.02875,28.64,77.43
27,27,Dealer,0,2,1180.41,"Sector-115 Mohali,Mohali",76.65,30.71,22.9,-1.3520852896305526,0.01940003896951059,30.71,76.65
28,28,Owner,0,2,1000.0,"Mohan Asram,Deoghar",86.7,24.48,39.0,-0.5683782790314671,0.039,24.48,86.7
29,29,Dealer,0,2,1000.0,"Alwar Bypass Road,Bhiwadi",76.86,28.21,12.5,-2.3009448960762575,0.0125,28.21,76.86
30,30,Dealer,0,3,1400.11,"Sector 84 Faridabad,Faridabad",77.37,28.4,52.0,-0.166861218308686,0.03713993900479248,28.4,77.37
31,31,Dealer,1,2,943.13,"Sector-134 Noida,Noida",77.38,28.5,33.0,-0.8086984115195663,0.03498987414248301,28.5,77.38
32,32,Owner,0,2,1150.15,"Indra Colony,Jaipur",74.87,26.59,55.0,-0.09041199840524089,0.04781984958483676,26.59,74.87
33,33,Dealer,1,1,864.07,"Thane West,Lalitpur",72.96,19.18,82.0,0.4366121077808909,0.09489971877278461,19.18,72.96
34,34,Dealer,1,2,857.79,"Mulund (West),Maharashtra",72.95,19.18,240.0,1.7071183917743913,0.27978875948658766,19.18,72.95
35,35,Owner,0,3,1174.21,"Thalambur,Chennai",80.22,12.85,55.0,-0.09041199840524089,0.04684000306589111,12.85,80.22
36,36,Dealer,1,2,1020.09,"Wakad,Pune",73.76,18.6,65.0,0.1337239464830372,0.06371986785479712,18.6,73.76
37,37,Owner,0,4,1650.17,"Vasna,Vadodara",72.67,22.31,65.0,0.1337239464830372,0.03938988104255925,22.31,72.67
38,38,Dealer,0,2,1000.0,"Madhurawada,Visakhapatnam",83.36,17.82,35.0,-0.723457885431606,0.035,17.82,83.36
39,39,Owner,0,3,1300.05,"Vasanthapura,Bangalore",77.55,12.89,75.0,0.3214940875193867,0.05769008884273682,12.89,77.55
40,40,Dealer,1,2,1058.11,"Sus,Pune",73.74,18.54,65.0,0.1337239464830372,0.061430286076116856,18.54,73.74
41,41,Dealer,0,1,400.0,"Kharadi,Pune",73.94,18.54,30.0,-0.948127343141382,0.075,18.54,73.94
42,42,Dealer,1,3,1274.92,"Marol,Mumbai",83.76,22.8,250.0,1.7513838231335261,0.19609073510494776,22.8,83.76
43,43,Dealer,0,2,1026.69,"Wadala East,Lalitpur",72.87,19.01,220.0,1.6118187870192244,0.2142808442665264,19.01,72.87
44,44,Owner,0,2,1150.12,"Near Ambamata Mandir,Vapi",72.9,20.37,38.0,-0.60540320347418,0.033040030605502035,20.37,72.9
45,45,Owner,0,3,1200.0,"Patel Nagar-II,Ghaziabad",77.04,28.46,60.0,0.026995258392604044,0.05,28.46,77.04
46,46,Dealer,0,1,475.01,"Balkum,Lalitpur",78.42,24.69,46.0,-0.3360549920309494,0.09684006652491527,24.69,78.42
47,47,Builder,1,1,301.92,"Taloja,Lalitpur",78.42,24.69,26.3,-1.1434016482925358,0.08710916799152094,24.69,78.42
48,48,Dealer,1,2,1228.57,"Bolar,Mangalore",74.85,12.84,51.6,-0.17743327300582634,0.042000048837266095,12.84,74.85
49,49,Owner,0,2,986.02,"Ayanambakkam,Chennai",80.15,13.08,55.0,-0.09041199840524089,0.05577980162674185,13.08,80.15
50,50,Dealer,1,3,1972.57,"Sector 88 Faridabad,Faridabad",77.35,28.43,71.9,0.2665104402783896,0.03644991052282049,28.43,77.35
51,51,Dealer,1,1,420.62,"Sindhi Society Chembur,Lalitpur",72.89,19.05,130.0,1.0073786743921487,0.30906756692501547,19.05,72.89
52,52,Owner,0,3,1275.01,"Shiv Mandir,Siliguri",71.39,25.23,32.5,-0.830920753771522,0.02548999615689289,25.23,71.39
53,53,Dealer,1,1,406.02,"Kalyan (West),Maharashtra",73.12,19.25,39.9,-0.5359634565222373,0.09827102113196394,19.25,73.12
54,54,Dealer,0,3,1862.56,"Sector 88 Faridabad,Faridabad",77.35,28.43,59.9,0.02475807858634195,0.03216003779744008,28.43,77.35
55,55,Owner,0,2,950.01,"Nandanwan Phases 2,Aurangabad",75.34,19.89,65.0,0.1337239464830372,0.0684203324175535,19.89,75.34
56,56,Dealer,0,2,1049.97,"Basaveshwara Nagar,Bangalore",77.54,12.99,68.5,0.2029938280686342,0.06523995923693057,12.99,77.54
57,57,Dealer,0,3,1615.01,"Maniktala,Kolkata",88.37,22.59,99.0,0.6747414359616517,0.061299930031392995,22.59,88.37
58,58,Dealer,0,3,1150.01,"Wadala East,Lalitpur",72.87,19.01,250.0,1.7513838231335261,0.21738941400509562,19.01,72.87
59,59,Owner,0,2,1100.0,"Jhotwara,Jaipur",75.73,26.96,27.5,-1.0768620101744457,0.025,26.96,75.73
60,60,Dealer,1,2,906.27,"Balkum,Lalitpur",78.42,24.69,70.0,0.23145098396527375,0.07723967471062708,24.69,78.42
61,61,Owner,0,3,1454.33,"Poolakkaparambu,Ottapalam",76.38,10.77,50.0,-0.2206750825838836,0.03438009255120915,10.77,76.38
62,62,Owner,0,3,1591.99,"Sector-137 Noida,Noida",77.41,28.51,70.0,0.23145098396527375,0.04397012544048644,28.51,77.41
63,63,Dealer,1,2,573.88,"Sector 86 Faridabad,Faridabad",77.34,28.41,22.1,-1.4062252378338123,0.03850979298808113,28.41,77.34
64,64,Dealer,1,3,1038.88,"Powai,Mumbai",72.91,19.12,280.0,1.872797294032961,0.26952102263976585,19.12,72.91
65,65,Owner,0,3,1538.14,"Yelahanka,Bangalore",77.6,13.11,74.0,0.30404640869556343,0.04811005500149531,13.11,77.6
66,66,Dealer,0,3,1602.08,"Sector 77 Faridabad,Faridabad",77.37,28.37,49.2,-0.24289094473395226,0.030710076900029963,28.37,77.37
67,67,Owner,0,2,1200.0,"Madhuranagar,Vijayawada",80.62,16.52,45.0,-0.3666887455388246,0.0375,16.52,80.62
68,68,Owner,0,2,760.07,"Tilakwadi,Belgaum",74.5,15.87,60.0,0.026995258392604044,0.07894009762258739,15.87,74.5
69,69,Owner,0,2,739.83,"tallaiya,Bhopal",77.42,23.25,30.0,-0.948127343141382,0.04054985604801103,23.25,77.42
70,70,Owner,0,2,1260.02,"Mulki,Mangalore",74.78,13.09,33.0,-0.8086984115195663,0.026190060475230554,13.09,74.78
71,71,Owner,0,2,1100.15,"Manewada,Nagpur",79.11,21.09,29.0,-0.9981223020783587,0.026360041812480115,21.09,79.11
72,72,Dealer,1,3,2293.08,"Kharadi,Pune",73.94,18.54,210.0,1.5603339235013682,0.09157988382437596,18.54,73.94
73,73,Dealer,0,2,1146.48,"Sector-8 Ulwe,Lalitpur",72.82,19.22,88.6,0.5352648413399717,0.07728002232921638,19.22,72.82
74,74,Dealer,1,4,2224.06,"Goregaon (East),Lalitpur",72.87,19.16,780.0,2.877031115070659,0.3507099628607142,19.16,72.87
75,75,Dealer,0,2,759.88,"Joka,Kolkata",88.3,22.45,30.0,-0.948127343141382,0.039479917881770805,22.45,88.3
76,76,Owner,0,4,2260.25,"Wilson Garden,Bangalore",77.6,12.95,140.0,1.0955146099305473,0.06194005087932751,12.95,77.6
77,77,Dealer,0,3,767.02,"DN Nagar,Maharashtra",80.1,20.74,240.0,1.7071183917743913,0.3128992725091914,20.74,80.1
78,78,Owner,0,4,2500.0,"Ramprastha,Ghaziabad",77.42,28.67,160.0,1.251817807424669,0.064,28.67,77.42
79,79,Dealer,1,4,2286.24,"Gomti Nagar Extension,Lucknow",77.0,21.0,100.0,0.6872577618024545,0.04373993981384282,21.0,77.0
80,80,Owner,1,2,1150.09,"Sector-74 Noida,Noida",77.39,28.58,60.0,0.026995258392604044,0.05216983018720275,28.58,77.39
81,81,Dealer,1,2,1004.93,"New Panvel,Mumbai",73.15,18.97,81.5,0.42876956981510395,0.08110017613167086,18.97,73.15
82,82,Owner,0,2,800.0,"Prantik,Kolkata",88.37,22.57,34.0,-0.7653709828854285,0.0425,22.57,88.37
83,83,Dealer,0,3,993.75,"Subhas Pally,Siliguri",88.44,26.71,31.8,-0.8626876707302653,0.032,26.71,88.44
84,84,Dealer,0,2,1298.14,"Jatkhedi,Bhopal",77.48,23.17,30.0,-0.948127343141382,0.023109988136872754,23.17,77.48
85,85,Dealer,1,2,996.8,"Raj Nagar Extension,Ghaziabad",75.78,26.9,24.9,-1.225462200412273,0.024979935794542534,26.9,75.78
86,86,Owner,0,2,985.02,"CV Raman Nagar,Bangalore",77.66,12.99,48.0,-0.2769974251759186,0.0487299750258878,12.99,77.66
87,87,Dealer,0,3,1118.75,"Medavakkam,Chennai",80.19,12.92,53.7,-0.12294148523745349,0.048,12.92,80.19
88,88,Dealer,1,2,889.83,"Sector-137 Noida,Noida",77.41,28.51,42.0,-0.4634451859810767,0.04720002697144398,28.51,77.41
89,89,Dealer,1,4,1725.49,"Deonar,Maharashtra",72.92,19.05,440.0,2.336022414169253,0.255000028977276,19.05,72.92
